0.0 I would like a moderately priced restaurant.	1.0 Wonderful! There are 4 in the centre of town: Restaurant One Seven, The Oak Bistro, The Copper Kettle, and the Cotto. Would you like for me to book one of these for you?
0.0  Keep in touch then , OK ? 	1.0  OK . 
0.0 no that is all	1.0 Have a good day!
0.0 How are we going to get there ? 	1.0  Let's take a cab . 
0.0 I do not have a price preference.	1.0 which side of town are you ok with?
0.0 stress pill are not healty	1.0 All of them?
0.0 So the one that arrives at 14:58 that also leaves at 14:00? Because I need it to leave after 14:00.	1.0 Yes. TR8793 departs Cambridge at 14:11 and arrives at 14:58. Would you like me to book you a ticket?
0.0 I am a model that model.	1.0 do you like cooking
0.0 Thanks! Could you also give me info on trains leaving after 16:45 from Cambridge.	1.0 Sure. Are you looking for a train on Sunday as well? And, what is your destination?
0.0 What do you like to read?	1.0 What is your favorite meal?
0.0 Thank you that's all!	1.0 You're welcome! Let me know if you need anything else.
0.0 Would you please show me the necklace in the window ? 	1.0  Is this the one you want ? 
0.0 it is   did you graduate  	1.0 nope
0.0 No, I'm all good.	1.0 Okay, have a fantastic time!
0.0 Are there any other cheap guesthouses in the north with free parking? My schedule is inflexible I'm afraid.	1.0 There is, but booking was unsuccessful at the city centre north b and b as well.
0.0 Yes, please provide the phone number.	1.0 The phone number is 00872208000
0.0 No thanks, that's actually all the info I needed from you today. Thank you!	1.0 Okay, great. Call us back if you need anything else. Goodbye.
0.0 I am a very experienced, but i would rather be in the museum.	1.0 What is your hobbie?
0.0  It's both affordable and it comes with all the appliances . 	1.0  What appliances ? 
0.0 I would need to leave after 08:30.	1.0 TR1958 leaves at 8:40 - would you like tickets on that train?
0.0  What does that imply , then ? 	1.0  More often than not , the understatement is ' I'm afraid it's time you leave ' . 
0.0 i walk dogs for a living	1.0 you should think of walking   when i was younger i walked around manhattan  
0.0 How about a cheap chinese one in the south?	1.0 I have one place that would be good for you, would you like me to start booking ?
0.0 I want one on the west side of town. If there's not one there then the centre of town will be fine.	1.0 we don't have any on the westside, but three in the city centre. Might I suggest the Kohinoor?
0.0 i love pizza , i eat it all the time	1.0 mine is shawarma
0.0 I am interested in visiting Saint Catharine's College. May I have the postcode, please.	1.0 The post code is cb21r1.
0.0  And do you have any medicine for airsickness ? 	1.0  Well , yes . I'll give him the medicine , too . 
0.0 That sounds good! I would like to make a reservation for 2 at 13:15 on friday.	1.0 Yes I have made that for you and your reservation number is YWN5SM9V .
0.0 Okay can you make a booking for 4 nights from Friday for 7 people.	1.0 Booking was successful. Reference number is : T4EBBLA6 .
0.0 I have no area preference. Can you suggest a park for me? Thanks a lot	1.0 My suggestion would be the Cambridge University Botanic Gardens. The do charge 4 pounds for entrance but it is by far worth it. They are located on Bateman Street.
0.0 Thanks. Can you book a taxi from Archway House to the restaurant for my reservation?	1.0 Ok you will arrive at 15:15 in a yellow skoda Contact number :07710839987
0.0 Could I please have the address?	1.0 Yes their address is 151 hills road.
0.0 I would like to be taken to tenpin	1.0 Okay, I have a black ford with the contact number 07735467542.
0.0 i am a huge gamer	1.0 ok
0.0 Can I book a stay there for 1 person for 5 nights starting tuesday please?	1.0 Your booking was successful, reference number is 8T4AJ6P9, 1 person for 5 nights starting Tuesday at the El Shaddai. Can I help you with anything else?
0.0 Yes, please! I need a table for 8 on Wednesday at 12:00.	1.0 Hmm. I'm not able to book at that time. Would you like to try another time or day?
0.0  You will have to read it here . 	1.0  That ’ s weird . 
0.0 cool , i am a teacher , and i love to read , and you ?	1.0 liar
0.0  Yes . I ’ ll be very busy ! I have to get a visa , buy a plane ticket , and pack my things . But first , I want to register for classes . 	1.0  When can you do that ? 
0.0 Well , I ’ d better get back to work . I ’ Ve got a ton of stuff on my desk ! 	1.0  Me too . I ’ ll see you after work , huh ? 
0.0  You are not going to give it up , are you ? 	1.0  No way . I'll never find another apartment around here . But I don't like the idea of paying three months ' rent on an empty apartment , either . 
0.0  How come so cheap ? 	1.0  It ’ s on sale this week . 
0.0 that's it for today. thank you for your help!	1.0 thanks again have thank you for all of your help today
0.0 Great can you book that for 4 people at 17:45 on sunday?	1.0 Yes sure. I have a reference number for you and it is 33TISTQB .
0.0 Operator . 	1.0  Hello . I'd like to make a call to Australia . 
0.0 comics are lovely   i think  	1.0 I guess...
0.0 cheap will work. can you book it for Wednesday? 1 person, 2 nights. I'll need the reference number too.	1.0 I was able to book a room at Alexander bed and breakfast, your reference number is VWF48IZM . Is there anything else I can help with?
0.0 Sir , would you like some dessert now ? 	1.0  Please show me the menu again . 
0.0  Is it all right for me to come in now , Mr Sun ? 	1.0  Well , uh ... I ’ m still pretty busy , but ... all right . Come in . What can I do for you ? 
0.0  Do you mean the red flowers ? They are peony flowers ? 	1.0  The red and yellow peony flowers are so beautiful . 
0.0 I need to arrive by 1:45 on saturday and I need a reference number.	1.0 Train TR8476 leaves saturday at 12:40 and will arrive by 13:08 shall I book this for you?
0.0  So am I going to see you at the party ? 	1.0  Yeah , I will be there . 
0.0  The antiques market here in Paris is very famous . It's called Le marche aux puces de Saint-Ouen . 	1.0  That's not very easy to say . 
0.0 That's all I needed. Thank you.	1.0 No problem, enjoy the rest of your day.
0.0 Do you have any hobbies ? 	1.0  Yes , I like collecting things . 
0.0 I am looking to go to a college then instead.	1.0 Christ's college is in town centre, located at saint andrew's street. It has free entrance. Do you want their contact number?
0.0 I would like it on the same day as the hotel booking leaving from ely if possible.	1.0 Not a problem. What time do you want to arrive by?
0.0  I can't go home yet , because I have things to do here . 	1.0  Sorry . That's not my fault . 
0.0 North American, I would would like to eat in the centre area?	1.0 The Gourmet Burger Kitchen would be perfect for you! It's at Regent Street City Centre. Would you like more information?
0.0 Thank you, that's everything that I need.	1.0 Great! Have a nice trip!
0.0 I'm looking for a train that leaves Wednesday and arrives by 9:30.	1.0 Where is your departure from?
0.0 Can i get their postcode, and entrance fee and is that a museum?	1.0 Yes, it is a museum. The post code is cb21er, and admission is free.
0.0 Can I have the postcode for Cambridge Artworks, please?	1.0 It is cb13ef. Is there anything else I can help you with?
0.0 Make the reservation for 2 people please.	1.0 Booking was successful. The table will be reserved for 15 minutes. Reference number is V8CR4ENN .
0.0 This is your profile. During the dialog pretend to be this person	1.0 i am a cancer survivor.
0.0 my parents were both very athletic.	1.0 
0.0 i love running and preparing for marathons.	1.0 
0.0 i got a new job just yesterday to be a life coach.	1.0 
0.0 Can you suggest one? I would like to arrive in Norwich about 4:15 PM.	1.0 I would recommend TR8314, which will get you there at 15:55. Would you like me to book your ticket?
0.0 Hi , Julie . I was in your neighborhood and I'd like to drop by . 	1.0  Come on in . Would you care for a drink ? 
0.0  Could I get a student pass , please ? 	1.0  Sure , can I see your student ID ? 
0.0 How about Portuguese food instead?	1.0 Nandos is located on the south side at Cambridge Leisure Park Clifton Way and the phone number is 01223 327908.
0.0 Finches Bed and Breakfast was recommended to me highly. Could you help me find it?	1.0 Yes I have found it, it is in the west of town,and cheap.
0.0  How long have you been working there ? 	1.0  A bit over two years . This is a fast-moving company , and seniority isn ’ t the only factor in deciding promotions . 
0.0 Yes, let's try 16:30 please.	1.0 I have successfully booked your restaurant reservation for 1 and your reference number is NKSZHAGP .
0.0 Yes, I'm also looking for a moderately priced restaurants in the east part of town.	1.0 There are three restaurants. Would you prefer Italian or Indian?
0.0 Can I make a book a table for 7 people on thursday at 12:15?	1.0 I apologize but I was not able to book you for the restaurant. Would you like for me to find you another restaurant?
